budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
8000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,680,"[{""id"": 396, ""name"": ""transgression""}, {""id"": 1416, ""name"": ""los angeles""}, {""id"": 9826, ""name"": ""murder""}]",en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper.",121.463076,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1994-09-10,213928762,154.0,"[{""name"": ""English""}]",Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8428
55000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,13,"[{""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 596, ""name"": ""hippie""}, {""id"": 3030, ""name"": ""running""}]",en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do.",138.140275,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1994-07-06,677945399,142.0,"[{""name"": ""English""}]",Released,Life is like a box of chocolates...you never know what you're gonna get.,Forrest Gump,8.2,7927
25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,278,"[{""id"": 378, ""name"": ""prison""}, {""id"": 818, ""name"": ""escape""}, {""id"": 156095, ""name"": ""friendship""}]",en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden.",136.747729,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1994-09-23,28341469,142.0,"[{""name"": ""English""}]",Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8205
63000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.whatisthematrix.com,603,"[{""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 156095, ""name"": ""virtual reality""}, {""id"": 156096, ""name"": ""cyberpunk""}]",en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",104.309993,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1999-03-30,463517383,136.0,"[{""name"": ""English""}]",Released,Welcome to the Real World.,The Matrix,7.9,8907
125000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",http://harrypotter.warnerbros.com/wizards/index.html,671,"[{""id"": 616, ""name"": ""witch""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 156099, ""name"": ""boarding school""}]",en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard with a place at Hogwarts.",109.918818,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2001-11-16,976475550,152.0,"[{""name"": ""English""}]",Released,Let The Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
93000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://www.lordoftherings.net/,120,"[{""id"": 603, ""name"": ""elves""}, {""id"": 604, ""name"": ""dwarves""}, {""id"": 606, ""name"": ""ring""}, {""id"": 156100, ""name"": ""middle-earth""}]",en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home behind in order to begin a perilous journey to the crack of doom and destroy the One Ring.",138.049577,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2001-12-18,871368364,178.0,"[{""name"": ""English""}]",Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8.0,8770
94000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://www.lordoftherings.net/,121,"[{""id"": 603, ""name"": ""elves""}, {""id"": 606, ""name"": ""ring""}, {""id"": 156100, ""name"": ""middle-earth""}]",en,The Lord of the Rings: The Two Towers,"Frodo and Sam continue their journey in Mordor with the help of Gollum, while Aragorn, Legolas, and Gimli join the Rohan riders in an epic battle at Helm's Deep.",106.370166,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2002-12-18,926287400,179.0,"[{""name"": ""English""}]",Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8.0,7440
94000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://www.lordoftherings.net/,122,"[{""id"": 606, ""name"": ""ring""}, {""id"": 156100, ""name"": ""middle-earth""}, {""id"": 156101, ""name"": ""final battle""}]",en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces.",123.630332,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2003-12-01,1118888979,201.0,"[{""name"": ""English""}]",Released,The Eye of the Enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8064
33000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,807,"[{""id"": 818, ""name"": ""detective""}, {""id"": 2343, ""name"": ""serial killer""}, {""id"": 156102, ""name"": ""seven deadly sins""}]",en,Seven,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"".",79.579532,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1995-09-22,327311859,127.0,"[{""name"": ""English""}]",Released,Seven deadly sins. Seven ways to die.,Seven,8.1,5762
63000000,"[{""id"": 18, ""name"": ""Drama""}]",http://www.foxmovies.com/fightclub/,550,"[{""id"": 825, ""name"": ""support group""}, {""id"": 156103, ""name"": ""dual identity""}, {""id"": 156104, ""name"": ""anti-establishment""}]",en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town.",146.757391,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1999-10-15,100853753,139.0,"[{""name"": ""English""}]",Released,Mischief. Mayhem. Soap.,Fight Club,8.3,9413
9000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.otnemem.com,77,"[{""id"": 612, ""name"": ""amnesia""}, {""id"": 156105, ""name"": ""reverse order""}, {""id"": 156106, ""name"": ""polaroid""}]",en,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss.",60.715151,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2000-10-11,39723096,113.0,"[{""name"": ""English""}]",Released,Some memories are best forgotten.,Memento,8.1,4028
11000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,"[{""id"": 803, ""name"": ""android""}, {""id"": 804, ""name"": ""galaxy""}, {""id"": 156107, ""name"": ""jedi""}, {""id"": 156108, ""name"": ""lightsaber""}]",en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to restore freedom.,126.393695,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1977-05-25,775398007,121.0,"[{""name"": ""English""}]",Released,"A long time ago in a galaxy far, far away...",Star Wars,8.1,6624
18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,1891,"[{""id"": 804, ""name"": ""galaxy""}, {""id"": 156107, ""name"": ""jedi""}, {""id"": 156108, ""name"": ""darth vader""}]",en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke.",78.51783,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1980-05-17,538400000,124.0,"[{""name"": ""English""}]",Released,The Adventure Continues...,The Empire Strikes Back,8.2,5879
19000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,274,"[{""id"": 818, ""name"": ""fbi agent""}, {""id"": 2343, ""name"": ""psychopath""}, {""id"": 156109, ""name"": ""hannibal lecter""}]",en,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath.",18.174804,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1991-02-01,272742922,118.0,"[{""name"": ""English""}]",Released,To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,8.1,4443
6000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://www.thegodfather.com/,238,"[{""id"": 131, ""name"": ""italy""}, {""id"": 699, ""name"": ""mafia""}, {""id"": 156110, ""name"": ""godfather""}]",en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son steps up.",143.659698,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1972-03-14,245066411,175.0,"[{""name"": ""English""}]",Released,An offer you can't refuse.,The Godfather,8.4,5893
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.ironmanmovie.com/,1726,"[{""id"": 9715, ""name"": ""superhero""}, {""id"": 156111, ""name"": ""billionaire""}, {""id"": 156112, ""name"": ""armor""}]",en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",120.725053,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2008-04-30,585174222,126.0,"[{""name"": ""English""}]",Released,Heroes aren't born. They're built.,Iron Man,7.4,8776
18000000,"[{""id"": 18, ""name"": ""Drama""}]",,1578,"[{""id"": 156113, ""name"": ""boxing""}, {""id"": 156114, ""name"": ""jealousy""}]",en,Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that lead him to the top in the ring destroyed his life outside of it.",40.2312,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1980-11-14,23383241,129.0,"[{""name"": ""English""}]",Released,"His brutal fury made him a champion, but his jealousy destroyed him.",Raging Bull,8.0,1600
25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,769,"[{""id"": 699, ""name"": ""mafia""}, {""id"": 156115, ""name"": ""mobster""}, {""id"": 156116, ""name"": ""heist""}]",en,GoodFellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",63.483206,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1990-09-12,46836394,145.0,"[{""name"": ""English""}]",Released,Three Decades of Life in the Mafia.,GoodFellas,8.2,3128
100000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.thewolfofwallstreet.com/,106646,"[{""id"": 156117, ""name"": ""stock broker""}, {""id"": 156118, ""name"": ""excess""}, {""id"": 156119, ""name"": ""wall street""}]",en,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration.",95.007934,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2013-12-25,392000694,180.0,"[{""name"": ""English""}]",Released,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6571
103000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",,98,"[{""id"": 156120, ""name"": ""rome""}, {""id"": 156121, ""name"": ""gladiator""}, {""id"": 156122, ""name"": ""revenge""}]",en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into turmoil. Maximus Decimus Meridius is a loyal general who is betrayed and forced into gladiatorial slavery.",95.301202,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2000-05-01,457640427,155.0,"[{""name"": ""English""}]",Released,What we do in life echoes in eternity.,Gladiator,7.9,5439
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.starwars.com/films/rogue-one,330459,"[{""id"": 804, ""name"": ""galaxy""}, {""id"": 156123, ""name"": ""death star""}, {""id"": 156124, ""name"": ""rebel""}]",en,Rogue One: A Star Wars Story,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,165.253,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2016-12-14,1056057273,133.0,"[{""name"": ""English""}]",Released,A Rebellion Built on Hope.,Rogue One: A Star Wars Story,7.5,8000
108000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.foxmovies.com/movies/the-martian,286217,"[{""id"": 818, ""name"": ""mars""}, {""id"": 156125, ""name"": ""astronaut""}, {""id"": 156126, ""name"": ""survival""}]",en,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet.",167.93287,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2015-09-30,630161890,144.0,"[{""name"": ""English""}]",Released,Bring Him Home.,The Martian,7.6,7268
150000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.startrekmovie.com/,157,"[{""id"": 156127, ""name"": ""starship""}, {""id"": 156128, ""name"": ""vulcan""}, {""id"": 156129, ""name"": ""space voyage""}]",en,Star Trek,"The fate of the galaxy rests in the hands of bitter rivals, James T. Kirk and Spock, aboard the USS Enterprise during their maiden voyage.",73.569481,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2009-05-06,385680468,127.0,"[{""name"": ""English""}]",Released,The future begins.,Star Trek,7.4,4518
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://exmachina-movie.com,264660,"[{""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 156130, ""name"": ""turing test""}, {""id"": 156131, ""name"": ""android""}]",en,Ex Machina,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company.",95.130074,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2015-01-21,36869414,108.0,"[{""name"": ""English""}]",Released,There is nothing more human than the will to survive.,Ex Machina,7.6,4737
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://touchstone.movies.go.com/prestige/,1124,"[{""id"": 2343, ""name"": ""magic""}, {""id"": 156132, ""name"": ""rivalry""}, {""id"": 156133, ""name"": ""obsession""}]",en,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",74.440708,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2006-10-19,109676311,130.0,"[{""name"": ""English""}]",Released,Are You Watching Closely?,The Prestige,8.0,4391
30000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10402, ""name"": ""Music""}]",http://www.lalaland.movie,313369,"[{""id"": 156134, ""name"": ""jazz""}, {""id"": 156135, ""name"": ""musical""}, {""id"": 156136, ""name"": ""hollywood""}]",en,La La Land,"Mia, an aspiring actress, and Sebastian, a dedicated jazz musician, are struggling to make ends meet in a city known for crushing hopes and breaking hearts.",145.45,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2016-11-29,446486224,128.0,"[{""name"": ""English""}]",Released,Here's to the fools who dream.,La La Land,7.9,8200
3300000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",http://sonyclassics.com/whiplash/,244786,"[{""id"": 156134, ""name"": ""jazz""}, {""id"": 156137, ""name"": ""drummer""}, {""id"": 156138, ""name"": ""mentor""}]",en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, pushing his physical and mental limits.",192.528841,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2014-10-10,48982041,107.0,"[{""name"": ""English""}]",Released,The road to greatness can take you to the edge.,Whiplash,8.3,4254
150000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",http://movies.disney.com/zootopia,269149,"[{""id"": 156139, ""name"": ""anthropomorphic""}, {""id"": 156140, ""name"": ""police""}, {""id"": 156141, ""name"": ""buddy comedy""}]",en,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde.",110.15,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2016-02-11,1023784195,108.0,"[{""name"": ""English""}]",Released,Welcome to the urban jungle.,Zootopia,7.7,4861
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",http://disney.go.com/toystory/,10193,"[{""id"": 156142, ""name"": ""toy""}, {""id"": 156143, ""name"": ""daycare""}, {""id"": 156144, ""name"": ""childhood""}]",en,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys are accidentally donated to a daycare center before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned.",59.959596,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2010-06-16,1066969703,103.0,"[{""name"": ""English""}]",Released,No toy gets left behind.,Toy Story 3,7.6,4597
20000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.eternalsunshine.com,38,"[{""id"": 1794, ""name"": ""subconscious""}, {""id"": 156145, ""name"": ""memory erasure""}, {""id"": 156146, ""name"": ""heartbreak""}]",en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend Clementine underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realizes he still loves her.",56.481412,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2004-03-19,72258126,108.0,"[{""name"": ""English""}]",Released,You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3652
30000000,"[{""id"": 1, ""name"": ""Fantasy""}, {""id"": 2, ""name"": ""Sci-Fi""}]",,330460,"[{""id"": 1, ""name"": ""fantasy""}, {""id"": 2, ""name"": ""sci-fi""}]",en,Flaming Ears,"Flaming Ears is a pop sci-fi lesbian fantasy feature set in the year 2700 in the fictive burned-out city of Asche. It follows the tangled lives of three women - Volley, Nun and Spy.",75.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1992-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Fantasy story.,Flaming Ears,6.0,1800
