track_id,track_name,artist_name,album_name,genre,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
t_0023,Infinite Dream,Taylor Swift,Taylor Swift - Silent Collection Vol. 1,pop,72,269454,0.784,0.494,11,-12.4,1,0.087,0.172,0.027,0.144,0.801,117.2,4
t_0024,Fading Orbit,Taylor Swift,Taylor Swift - Silent Collection Vol. 1,pop,45,218452,0.693,0.497,8,-11.9,0,0.0723,0.158,0.0457,0.075,0.406,96.7,4
t_0025,Lost Orbit,Taylor Swift,Taylor Swift - Silent Collection Vol. 1,pop,55,147047,0.581,0.57,4,-5.3,1,0.047,0.22,0.034,0.216,0.675,96.6,4
t_0026,Deep Fire,Taylor Swift,Taylor Swift - Crystal Collection Vol. 2,pop,92,194856,0.834,0.632,7,-15.2,1,0.0862,0.177,0.0394,0.279,0.681,92.3,4
t_0027,Silent Pulse,Taylor Swift,Taylor Swift - Crystal Collection Vol. 2,pop,76,221636,0.513,0.404,4,-11.5,0,0.0756,0.166,0.0021,0.266,0.65,102.2,4
t_0028,Serene Ocean,Taylor Swift,Taylor Swift - Crystal Collection Vol. 2,pop,76,183835,0.697,0.423,4,-12.2,0,0.08,0.199,0.0306,0.095,0.352,129.2,4
t_0029,Velvet Dawn,Taylor Swift,Taylor Swift - Crystal Collection Vol. 2,pop,49,318337,0.849,0.442,0,-13.3,0,0.0802,0.238,0.0454,0.158,0.461,113.9,4
t_0030,Crystal Journey,Taylor Swift,Taylor Swift - Crystal Collection Vol. 2,pop,48,300234,0.669,0.462,1,-9.9,0,0.0668,0.156,0.0029,0.093,0.782,110.8,4
t_0031,Cosmic Horizon,Taylor Swift,Taylor Swift - Vintage Collection Vol. 3,pop,80,293022,0.533,0.769,2,-7.1,0,0.0411,0.128,0.0297,0.119,0.56,112.1,4
t_0032,Ethereal Rhythm,Taylor Swift,Taylor Swift - Vintage Collection Vol. 3,pop,64,308067,0.568,0.661,9,-17.9,0,0.0612,0.183,0.0409,0.123,0.353,110.4,4
t_0033,Velvet Dawn,Taylor Swift,Taylor Swift - Vintage Collection Vol. 3,pop,92,288097,0.596,0.585,9,-8.2,0,0.0809,0.584,0.02,0.229,0.484,110.3,4
t_0034,Vintage Sky,Taylor Swift,Taylor Swift - Vintage Collection Vol. 3,pop,75,165967,0.772,0.621,9,-7.6,0,0.0438,0.228,0.0226,0.136,0.569,121.7,4
t_0035,Silent Silence,Taylor Swift,Taylor Swift - Vintage Collection Vol. 3,pop,85,183710,0.741,0.46,11,-11.5,1,0.0395,0.464,0.0259,0.274,0.379,118.2,4
t_0036,Silent Glow,Dua Lipa,Dua Lipa - Crystal Collection Vol. 1,pop,51,143634,0.563,0.645,0,-8.8,0,0.0418,0.304,0.0206,0.241,0.448,128.4,4
t_0037,Velvet Shadow,Dua Lipa,Dua Lipa - Crystal Collection Vol. 1,pop,55,152462,0.554,0.456,9,-13.9,0,0.065,0.169,0.046,0.331,0.612,118.6,4
t_0038,Dark Lullaby,Dua Lipa,Dua Lipa - Crystal Collection Vol. 1,pop,75,302897,0.619,0.691,4,-12.3,1,0.0893,0.44,0.0363,0.144,0.569,93.7,4
t_0039,Radiant Dream,Dua Lipa,Dua Lipa - Crystal Collection Vol. 1,pop,45,301078,0.56,0.707,9,-4.8,1,0.0796,0.563,0.0282,0.256,0.49,111.1,4
t_0040,Fading Horizon,Dua Lipa,Dua Lipa - Crystal Collection Vol. 1,pop,53,252785,0.712,0.543,1,-5.2,1,0.0405,0.456,0.0299,0.151,0.458,109.0,4
t_0041,Radiant Night,Dua Lipa,Dua Lipa - Vintage Collection Vol. 2,pop,58,209093,0.51,0.553,4,-16.9,1,0.0826,0.452,0.0301,0.283,0.608,101.8,4
t_0042,Golden Dawn,Dua Lipa,Dua Lipa - Vintage Collection Vol. 2,pop,81,227281,0.517,0.594,5,-9.3,1,0.0584,0.137,0.0015,0.189,0.584,116.4,4
t_0043,Midnight Neon,Dua Lipa,Dua Lipa - Vintage Collection Vol. 2,pop,73,272864,0.684,0.776,9,-5.4,0,0.063,0.449,0.0016,0.185,0.629,99.2,4
t_0044,Astral Journey,Dua Lipa,Dua Lipa - Vintage Collection Vol. 2,pop,47,315119,0.533,0.753,9,-6.0,1,0.046,0.345,0.0146,0.154,0.486,124.5,4
t_0045,Golden Pulse,Dua Lipa,Dua Lipa - Vintage Collection Vol. 2,pop,91,298532,0.771,0.732,4,-15.9,0,0.0861,0.242,0.033,0.164,0.464,110.0,4
t_0046,Electric Journey,Dua Lipa,Dua Lipa - Ethereal Collection Vol. 3,pop,75,171831,0.807,0.534,10,-14.6,1,0.0363,0.594,0.0426,0.349,0.731,122.6,4
t_0047,Ethereal Chronicle,Dua Lipa,Dua Lipa - Ethereal Collection Vol. 3,pop,90,252183,0.622,0.409,1,-11.1,1,0.0674,0.513,0.0041,0.226,0.46,122.7,4
t_0048,Radiant Neon,Dua Lipa,Dua Lipa - Ethereal Collection Vol. 3,pop,53,240420,0.504,0.696,3,-4.5,0,0.07,0.425,0.0304,0.212,0.602,97.3,4
t_0049,Golden Silence,Dua Lipa,Dua Lipa - Ethereal Collection Vol. 3,pop,81,276665,0.653,0.677,9,-14.5,1,0.0482,0.228,0.0151,0.228,0.525,119.0,4
t_0050,Cosmic Shadow,Dua Lipa,Dua Lipa - Ethereal Collection Vol. 3,pop,84,228076,0.823,0.535,4,-15.0,1,0.0495,0.579,0.012,0.271,0.728,112.4,4
t_0051,Deep Echo,Ariana Grande,Ariana Grande - Vintage Collection Vol. 1,pop,77,185303,0.649,0.763,3,-15.6,0,0.0756,0.159,0.0206,0.305,0.608,126.2,4
t_0052,Serene Rain,Ariana Grande,Ariana Grande - Vintage Collection Vol. 1,pop,51,171562,0.535,0.471,6,-16.0,0,0.0539,0.374,0.0263,0.153,0.765,115.7,4
t_0053,Ethereal Solitude,Ariana Grande,Ariana Grande - Vintage Collection Vol. 1,pop,76,192083,0.634,0.651,2,-4.8,1,0.0314,0.57,0.027,0.26,0.445,112.1,4
t_0054,Midnight Ascent,Ariana Grande,Ariana Grande - Vintage Collection Vol. 1,pop,81,198633,0.745,0.614,10,-17.3,1,0.0433,0.223,0.0334,0.321,0.516,93.3,4
t_0055,Radiant Fire,Ariana Grande,Ariana Grande - Vintage Collection Vol. 1,pop,56,209762,0.682,0.698,0,-15.4,1,0.0784,0.436,0.0133,0.282,0.738,118.8,4
t_0056,Silent Rhythm,Ariana Grande,Ariana Grande - Deep Collection Vol. 2,pop,94,147346,0.719,0.47,2,-4.2,1,0.0629,0.555,0.0388,0.116,0.78,103.5,4
t_0057,Cosmic Wave,Ariana Grande,Ariana Grande - Deep Collection Vol. 2,pop,51,228140,0.71,0.71,6,-17.4,0,0.0433,0.37,0.0313,0.093,0.405,111.4,4
t_0058,Crystal Dawn,Ariana Grande,Ariana Grande - Deep Collection Vol. 2,pop,47,207267,0.602,0.446,9,-11.3,0,0.07,0.37,0.0245,0.138,0.519,110.0,4
t_0059,Serene Ascent,Ariana Grande,Ariana Grande - Deep Collection Vol. 2,pop,70,182016,0.784,0.444,10,-12.4,1,0.0765,0.343,0.0488,0.232,0.486,99.1,4
t_0060,Lost Silence,Ariana Grande,Ariana Grande - Deep Collection Vol. 2,pop,83,258964,0.744,0.58,0,-5.1,0,0.0447,0.413,0.0051,0.284,0.699,116.2,4
t_0061,Midnight Echo,Ariana Grande,Ariana Grande - Velvet Collection Vol. 3,pop,86,284942,0.827,0.46,11,-10.1,0,0.0789,0.137,0.0024,0.195,0.391,94.0,4
t_0062,Deep Vibe,Ariana Grande,Ariana Grande - Velvet Collection Vol. 3,pop,76,171806,0.763,0.631,4,-5.1,1,0.0571,0.274,0.0079,0.267,0.689,103.8,4
t_0063,Cosmic Dream,Ariana Grande,Ariana Grande - Velvet Collection Vol. 3,pop,94,254566,0.545,0.436,1,-12.1,1,0.0402,0.223,0.0048,0.134,0.683,96.6,4
t_0064,Electric Sky,Ariana Grande,Ariana Grande - Velvet Collection Vol. 3,pop,50,207004,0.569,0.618,1,-15.9,1,0.0608,0.369,0.0087,0.298,0.474,104.3,4
t_0065,Midnight Orbit,Ariana Grande,Ariana Grande - Velvet Collection Vol. 3,pop,93,218299,0.778,0.528,4,-11.5,1,0.0797,0.248,0.0495,0.175,0.598,97.0,4
t_0066,Electric Shadow,Bruno Mars,Bruno Mars - Bright Collection Vol. 1,pop,64,224762,0.723,0.543,4,-13.9,1,0.0305,0.367,0.0065,0.104,0.352,116.8,4
t_0067,Euphoric Glow,Bruno Mars,Bruno Mars - Bright Collection Vol. 1,pop,47,203876,0.709,0.651,8,-10.1,1,0.0528,0.585,0.046,0.085,0.77,96.9,4
t_0068,Lost Ascent,Bruno Mars,Bruno Mars - Bright Collection Vol. 1,pop,94,142170,0.776,0.749,7,-14.6,1,0.0601,0.379,0.0474,0.142,0.669,127.4,4
t_0069,Midnight Glow,Bruno Mars,Bruno Mars - Bright Collection Vol. 1,pop,75,235863,0.72,0.625,6,-5.7,0,0.0506,0.366,0.022,0.081,0.738,90.5,4
t_0070,Euphoric Star,Bruno Mars,Bruno Mars - Bright Collection Vol. 1,pop,87,251614,0.765,0.684,1,-15.8,0,0.075,0.16,0.0315,0.32,0.704,103.7,4
t_0071,Lost Memory,Bruno Mars,Bruno Mars - Euphoric Collection Vol. 2,pop,59,224630,0.676,0.467,4,-6.9,1,0.0339,0.253,0.0209,0.221,0.767,115.8,4
t_0072,Electric Chronicle,Bruno Mars,Bruno Mars - Euphoric Collection Vol. 2,pop,50,212090,0.577,0.767,11,-11.8,1,0.0743,0.205,0.0218,0.171,0.376,120.4,4
t_0073,Euphoric Shadow,Bruno Mars,Bruno Mars - Euphoric Collection Vol. 2,pop,54,257535,0.828,0.734,6,-13.8,0,0.0486,0.543,0.0285,0.277,0.437,126.9,4
t_0074,Hypnotic Chronicle,Bruno Mars,Bruno Mars - Euphoric Collection Vol. 2,pop,77,242239,0.567,0.509,10,-14.3,0,0.06,0.268,0.0267,0.269,0.443,105.0,4
t_0075,Cosmic Silence,Bruno Mars,Bruno Mars - Euphoric Collection Vol. 2,pop,89,141423,0.528,0.461,10,-17.7,1,0.0369,0.549,0.0045,0.058,0.379,102.9,4
t_0076,Crystal Night,Bruno Mars,Bruno Mars - Midnight Collection Vol. 3,pop,93,144767,0.811,0.701,9,-10.4,1,0.0412,0.59,0.0329,0.146,0.403,108.1,4
t_0077,Cosmic Vibe,Bruno Mars,Bruno Mars - Midnight Collection Vol. 3,pop,83,142850,0.533,0.631,6,-16.0,0,0.0678,0.559,0.0485,0.281,0.753,124.3,4
t_0078,Golden Glow,Bruno Mars,Bruno Mars - Midnight Collection Vol. 3,pop,73,152136,0.557,0.523,4,-7.2,1,0.0721,0.402,0.0135,0.272,0.645,89.0,4
t_0079,Astral Dream,Bruno Mars,Bruno Mars - Midnight Collection Vol. 3,pop,85,162885,0.596,0.697,2,-14.1,1,0.0823,0.114,0.011,0.204,0.437,89.9,4
t_0080,Deep Night,Bruno Mars,Bruno Mars - Midnight Collection Vol. 3,pop,54,238786,0.779,0.655,8,-11.8,1,0.043,0.493,0.0483,0.269,0.422,96.0,4
t_0081,Lost Horizon,Billie Eilish,Billie Eilish - Deep Collection Vol. 1,pop,68,257833,0.789,0.728,9,-5.1,1,0.0336,0.219,0.0055,0.317,0.76,90.4,4
t_0082,Cosmic Wave,Billie Eilish,Billie Eilish - Deep Collection Vol. 1,pop,52,303445,0.681,0.469,4,-13.9,1,0.0435,0.525,0.0359,0.154,0.435,114.3,4
t_0083,Silent Solitude,Billie Eilish,Billie Eilish - Deep Collection Vol. 1,pop,93,159655,0.526,0.558,6,-14.5,0,0.0774,0.57,0.0048,0.078,0.356,109.8,4
t_0084,Infinite Dawn,Billie Eilish,Billie Eilish - Deep Collection Vol. 1,pop,68,314069,0.513,0.478,0,-6.9,0,0.061,0.353,0.0387,0.303,0.599,86.4,4
t_0085,Radiant Horizon,Billie Eilish,Billie Eilish - Deep Collection Vol. 1,pop,56,172010,0.752,0.494,5,-8.8,1,0.0702,0.385,0.0333,0.321,0.787,118.5,4
t_0086,Crystal Star,Billie Eilish,Billie Eilish - Electric Collection Vol. 2,pop,57,210557,0.763,0.421,3,-11.8,0,0.0512,0.285,0.047,0.11,0.736,103.6,4
t_0087,Lost Solitude,Billie Eilish,Billie Eilish - Electric Collection Vol. 2,pop,49,140875,0.765,0.541,7,-12.4,1,0.0525,0.497,0.004,0.259,0.759,116.8,4
t_0088,Crystal Vibe,Billie Eilish,Billie Eilish - Electric Collection Vol. 2,pop,80,225144,0.673,0.51,11,-13.2,1,0.0856,0.319,0.0287,0.268,0.445,107.8,4
t_0089,Radiant Rhythm,Billie Eilish,Billie Eilish - Electric Collection Vol. 2,pop,67,246535,0.71,0.5,4,-9.6,1,0.0661,0.579,0.0146,0.316,0.468,124.0,4
t_0090,Ethereal Star,Billie Eilish,Billie Eilish - Electric Collection Vol. 2,pop,89,294402,0.663,0.635,4,-14.6,0,0.0568,0.152,0.0276,0.152,0.618,121.9,4
t_0091,Radiant Chronicle,Billie Eilish,Billie Eilish - Electric Collection Vol. 3,pop,65,247291,0.66,0.468,11,-16.5,1,0.0344,0.476,0.0235,0.177,0.808,114.7,4
t_0092,Cosmic Fire,Billie Eilish,Billie Eilish - Electric Collection Vol. 3,pop,56,181846,0.63,0.682,8,-11.9,1,0.0558,0.297,0.0451,0.061,0.719,125.5,4
t_0093,Ethereal Wave,Billie Eilish,Billie Eilish - Electric Collection Vol. 3,pop,55,211797,0.651,0.493,5,-13.4,0,0.0762,0.274,0.0397,0.306,0.609,91.8,4
t_0094,Serene Echo,Billie Eilish,Billie Eilish - Electric Collection Vol. 3,pop,77,234518,0.67,0.566,2,-10.0,0,0.0582,0.167,0.0399,0.137,0.431,104.4,4
t_0095,Euphoric Chronicle,Billie Eilish,Billie Eilish - Electric Collection Vol. 3,pop,92,200589,0.831,0.775,4,-8.8,0,0.0748,0.214,0.0211,0.205,0.54,127.6,4
t_0096,Ethereal Memory,Harry Styles,Harry Styles - Golden Collection Vol. 1,pop,77,306395,0.527,0.607,11,-13.5,1,0.0415,0.384,0.0183,0.156,0.45,104.1,4
t_0097,Velvet Ocean,Harry Styles,Harry Styles - Golden Collection Vol. 1,pop,95,272865,0.641,0.703,9,-7.5,0,0.041,0.288,0.0392,0.17,0.823,121.2,4
t_0098,Serene Neon,Harry Styles,Harry Styles - Golden Collection Vol. 1,pop,82,140050,0.769,0.455,3,-8.3,0,0.0781,0.403,0.0364,0.255,0.537,121.6,4
t_0099,Serene Rhythm,Harry Styles,Harry Styles - Golden Collection Vol. 1,pop,72,213777,0.807,0.543,1,-11.2,0,0.0834,0.165,0.0362,0.349,0.842,94.6,4
t_0100,Serene Fire,Harry Styles,Harry Styles - Golden Collection Vol. 1,pop,46,198528,0.541,0.751,8,-5.7,0,0.0307,0.289,0.031,0.104,0.493,108.1,4
t_0101,Bright Solitude,Harry Styles,Harry Styles - Ethereal Collection Vol. 2,pop,73,203862,0.73,0.411,6,-14.5,1,0.0336,0.326,0.0393,0.057,0.658,129.4,4
t_0102,Deep Orbit,Harry Styles,Harry Styles - Ethereal Collection Vol. 2,pop,78,197180,0.73,0.511,10,-17.2,1,0.0781,0.446,0.0105,0.086,0.571,117.3,4
t_0103,Hypnotic Ascent,Harry Styles,Harry Styles - Ethereal Collection Vol. 2,pop,85,267074,0.652,0.704,0,-6.2,0,0.0652,0.289,0.0426,0.129,0.623,99.7,4
t_0104,Midnight Horizon,Harry Styles,Harry Styles - Ethereal Collection Vol. 2,pop,72,237572,0.659,0.645,7,-8.9,1,0.038,0.133,0.0088,0.285,0.491,127.0,4
t_0105,Velvet Rhythm,Harry Styles,Harry Styles - Ethereal Collection Vol. 2,pop,78,173522,0.631,0.429,8,-8.1,1,0.0637,0.472,0.05,0.247,0.529,120.2,4
t_0106,Cosmic Lullaby,Harry Styles,Harry Styles - Crystal Collection Vol. 3,pop,70,268931,0.59,0.44,9,-8.6,0,0.082,0.346,0.0332,0.101,0.535,117.2,4
t_0107,Dark Shadow,Harry Styles,Harry Styles - Crystal Collection Vol. 3,pop,57,239026,0.606,0.448,0,-13.8,0,0.0756,0.141,0.014,0.216,0.45,113.2,4
t_0108,Serene Memory,Harry Styles,Harry Styles - Crystal Collection Vol. 3,pop,90,308923,0.528,0.424,10,-14.9,1,0.079,0.379,0.0381,0.17,0.63,93.4,4
t_0109,Infinite Shadow,Harry Styles,Harry Styles - Crystal Collection Vol. 3,pop,46,267534,0.642,0.654,0,-12.6,0,0.0605,0.393,0.0111,0.078,0.411,90.6,4
t_0110,Dark Journey,Harry Styles,Harry Styles - Crystal Collection Vol. 3,pop,83,207693,0.632,0.767,6,-17.1,0,0.0507,0.441,0.0095,0.21,0.457,94.3,4
t_0111,Infinite Pulse,Olivia Rodrigo,Olivia Rodrigo - Electric Collection Vol. 1,pop,95,212791,0.76,0.516,3,-15.4,0,0.036,0.145,0.0408,0.303,0.531,126.0,4
t_0112,Infinite Echo,Olivia Rodrigo,Olivia Rodrigo - Electric Collection Vol. 1,pop,91,288861,0.589,0.589,5,-17.8,1,0.0619,0.122,0.048,0.07,0.825,92.2,4
t_0113,Bright Chronicle,Olivia Rodrigo,Olivia Rodrigo - Electric Collection Vol. 1,pop,75,286346,0.823,0.628,5,-6.6,0,0.0614,0.322,0.01,0.113,0.543,109.2,4
t_0114,Golden Memory,Olivia Rodrigo,Olivia Rodrigo - Electric Collection Vol. 1,pop,63,276717,0.709,0.512,4,-15.1,0,0.0476,0.509,0.0177,0.191,0.842,85.8,4
t_0115,Ethereal Pulse,Olivia Rodrigo,Olivia Rodrigo - Electric Collection Vol. 1,pop,45,317381,0.573,0.763,6,-7.2,1,0.0839,0.492,0.0243,0.092,0.735,100.8,4
t_0116,Golden Star,Olivia Rodrigo,Olivia Rodrigo - Deep Collection Vol. 2,pop,60,184323,0.72,0.448,7,-15.1,0,0.086,0.211,0.0293,0.281,0.769,109.0,4
t_0117,Silent Dawn,Olivia Rodrigo,Olivia Rodrigo - Deep Collection Vol. 2,pop,71,256063,0.538,0.76,7,-8.1,0,0.0373,0.395,0.02,0.058,0.666,88.6,4
t_0118,Dark Wave,Olivia Rodrigo,Olivia Rodrigo - Deep Collection Vol. 2,pop,45,147168,0.584,0.728,7,-12.9,0,0.0481,0.53,0.0198,0.343,0.451,125.1,4
t_0119,Dark Echo,Olivia Rodrigo,Olivia Rodrigo - Deep Collection Vol. 2,pop,63,283237,0.668,0.686,3,-12.9,0,0.0856,0.449,0.0406,0.149,0.476,93.9,4
t_0120,Golden Silence,Olivia Rodrigo,Olivia Rodrigo - Deep Collection Vol. 2,pop,66,319393,0.527,0.603,1,-15.8,0,0.0894,0.502,0.0189,0.317,0.427,95.4,4
t_0121,Hypnotic Vibe,Olivia Rodrigo,Olivia Rodrigo - Fading Collection Vol. 3,pop,93,189554,0.591,0.494,6,-7.3,0,0.0813,0.45,0.0442,0.26,0.451,95.6,4
t_0122,Electric Vibe,Olivia Rodrigo,Olivia Rodrigo - Fading Collection Vol. 3,pop,76,206639,0.835,0.777,9,-16.4,0,0.0399,0.455,0.0443,0.105,0.35,115.0,4
t_0123,Lost Shadow,Olivia Rodrigo,Olivia Rodrigo - Fading Collection Vol. 3,pop,68,230582,0.718,0.506,8,-12.1,0,0.0843,0.264,0.0293,0.05,0.796,127.4,4
t_0124,Silent Dream,Olivia Rodrigo,Olivia Rodrigo - Fading Collection Vol. 3,pop,81,218703,0.54,0.461,0,-17.6,0,0.0666,0.439,0.025,0.345,0.663,118.6,4
t_0125,Velvet Neon,Olivia Rodrigo,Olivia Rodrigo - Fading Collection Vol. 3,pop,51,249126,0.576,0.598,2,-16.7,1,0.0496,0.127,0.0044,0.161,0.353,97.8,4
t_0126,Crystal Silence,Justin Bieber,Justin Bieber - Cosmic Collection Vol. 1,pop,67,198840,0.792,0.738,10,-8.9,0,0.0532,0.57,0.0473,0.243,0.75,95.1,4
t_0127,Cosmic Fire,Justin Bieber,Justin Bieber - Cosmic Collection Vol. 1,pop,50,317234,0.718,0.404,5,-7.7,1,0.0767,0.146,0.0205,0.183,0.528,118.1,4
t_0128,Electric Ascent,Justin Bieber,Justin Bieber - Cosmic Collection Vol. 1,pop,53,149322,0.752,0.683,4,-8.4,0,0.084,0.178,0.0075,0.151,0.604,93.9,4
t_0129,Electric Ascent,Justin Bieber,Justin Bieber - Cosmic Collection Vol. 1,pop,55,246329,0.812,0.548,4,-12.2,1,0.0678,0.15,0.0009,0.218,0.593,108.0,4
t_0130,Vintage Dream,Justin Bieber,Justin Bieber - Cosmic Collection Vol. 1,pop,57,182844,0.782,0.644,1,-11.5,1,0.0684,0.23,0.0152,0.295,0.837,97.0,4
t_0131,Astral Echo,Justin Bieber,Justin Bieber - Midnight Collection Vol. 2,pop,81,196913,0.515,0.578,6,-15.9,0,0.073,0.579,0.0132,0.188,0.577,128.5,4
t_0132,Fading Dawn,Justin Bieber,Justin Bieber - Midnight Collection Vol. 2,pop,56,170474,0.518,0.635,9,-10.5,1,0.0599,0.404,0.0335,0.096,0.823,106.9,4
t_0133,Bright Memory,Justin Bieber,Justin Bieber - Midnight Collection Vol. 2,pop,57,301035,0.547,0.707,3,-7.8,1,0.0804,0.57,0.0206,0.072,0.495,108.3,4
t_0134,Midnight Star,Justin Bieber,Justin Bieber - Midnight Collection Vol. 2,pop,55,182452,0.506,0.485,5,-11.3,1,0.0608,0.56,0.0269,0.299,0.658,103.0,4
t_0135,Lost Dawn,Justin Bieber,Justin Bieber - Midnight Collection Vol. 2,pop,49,286118,0.582,0.546,6,-6.4,0,0.0627,0.175,0.0227,0.131,0.836,120.2,4
t_0136,Electric Ocean,Justin Bieber,Justin Bieber - Midnight Collection Vol. 3,pop,45,213214,0.724,0.55,3,-14.8,0,0.0573,0.576,0.0314,0.103,0.356,107.1,4
t_0137,Serene Ascent,Justin Bieber,Justin Bieber - Midnight Collection Vol. 3,pop,95,211469,0.517,0.632,8,-15.4,0,0.0521,0.137,0.0387,0.346,0.47,114.2,4
t_0138,Radiant Ocean,Justin Bieber,Justin Bieber - Midnight Collection Vol. 3,pop,90,225020,0.55,0.712,5,-14.3,0,0.0829,0.427,0.0007,0.121,0.801,115.4,4
t_0139,Infinite Orbit,Justin Bieber,Justin Bieber - Midnight Collection Vol. 3,pop,94,157084,0.778,0.401,3,-9.7,1,0.0454,0.591,0.006,0.338,0.788,89.4,4
t_0140,Crystal Star,Justin Bieber,Justin Bieber - Midnight Collection Vol. 3,pop,86,184185,0.501,0.594,8,-16.6,0,0.0795,0.499,0.0022,0.117,0.409,105.1,4
t_0141,Dark Vibe,Queen,Queen - Velvet Collection Vol. 1,rock,84,161148,0.389,0.82,2,-6.9,1,0.0848,0.02,0.0348,0.338,0.553,119.2,4
t_0142,Radiant Dawn,Queen,Queen - Velvet Collection Vol. 1,rock,93,274730,0.411,0.949,2,-11.4,1,0.0757,0.034,0.0047,0.328,0.618,159.4,4
t_0143,Lost Pulse,Queen,Queen - Velvet Collection Vol. 1,rock,49,304778,0.389,0.753,8,-17.3,0,0.0563,0.04,0.0191,0.093,0.7,115.0,4
t_0144,Astral Silence,Queen,Queen - Velvet Collection Vol. 1,rock,48,153298,0.401,0.977,3,-8.2,0,0.0767,0.053,0.031,0.232,0.395,116.5,4
t_0145,Electric Memory,Queen,Queen - Velvet Collection Vol. 1,rock,83,279350,0.5,0.884,3,-8.0,1,0.0425,0.12,0.0077,0.161,0.759,151.5,4
t_0146,Astral Lullaby,Queen,Queen - Bright Collection Vol. 2,rock,77,260015,0.566,0.985,11,-17.0,1,0.0678,0.055,0.0356,0.287,0.43,160.4,4
t_0147,Fading Horizon,Queen,Queen - Bright Collection Vol. 2,rock,77,310582,0.641,0.852,11,-6.7,1,0.0393,0.014,0.0451,0.301,0.574,140.3,4
